Race,Driver,Stint,Compound,Laps,AvgLapTime,FastestLap
bahrain,ALB,1.0,SOFT,16,0 days 00:01:40.343000,0 days 00:01:38.699000
bahrain,ALB,2.0,HARD,16,0 days 00:01:41.539000,0 days 00:01:37.209000
bahrain,ALB,3.0,MEDIUM,24,0 days 00:01:40.293166666,0 days 00:01:37.141000
bahrain,ALO,1.0,MEDIUM,16,0 days 00:01:40.680687500,0 days 00:01:39.318000
bahrain,ALO,2.0,MEDIUM,16,0 days 00:01:41.655062500,0 days 00:01:37.955000
bahrain,ALO,3.0,HARD,24,0 days 00:01:40.445666666,0 days 00:01:37.906000
bahrain,ANT,1.0,SOFT,12,0 days 00:01:39.538583333,0 days 00:01:38.187000
bahrain,ANT,2.0,MEDIUM,15,0 days 00:01:40.339800,0 days 00:01:37.732000
bahrain,ANT,3.0,SOFT,5,0 days 00:01:46.960000,0 days 00:01:36.690000
bahrain,ANT,4.0,SOFT,24,0 days 00:01:40.079041666,0 days 00:01:36.985000
bahrain,BEA,1.0,SOFT,14,0 days 00:01:40.443071428,0 days 00:01:39.246000
bahrain,BEA,2.0,HARD,18,0 days 00:01:41.357000,0 days 00:01:37.480000
bahrain,BEA,3.0,SOFT,25,0 days 00:01:42.256000,0 days 00:01:37.303000
bahrain,BOR,1.0,MEDIUM,13,0 days 00:01:41.161461538,0 days 00:01:39.772000
bahrain,BOR,2.0,HARD,19,0 days 00:01:42.220315789,0 days 00:01:38.456000
bahrain,BOR,3.0,MEDIUM,24,0 days 00:01:39.880125,0 days 00:01:38.006000
bahrain,DOO,1.0,SOFT,9,0 days 00:01:40.351333333,0 days 00:01:38.714000
bahrain,DOO,2.0,MEDIUM,19,0 days 00:01:40.009000,0 days 00:01:37.745000
bahrain,DOO,3.0,HARD,29,0 days 00:01:43.065793103,0 days 00:01:36.682000
bahrain,GAS,1.0,SOFT,10,0 days 00:01:39.707200,0 days 00:01:38.064000
bahrain,GAS,2.0,MEDIUM,18,0 days 00:01:39.657777777,0 days 00:01:37.388000
bahrain,GAS,3.0,HARD,29,0 days 00:01:42.914655172,0 days 00:01:36.531000
bahrain,HAD,1.0,SOFT,6,0 days 00:01:41.524833333,0 days 00:01:39.603000
bahrain,HAD,2.0,MEDIUM,22,0 days 00:01:40.271318181,0 days 00:01:37.392000
bahrain,HAD,3.0,HARD,29,0 days 00:01:42.780379310,0 days 00:01:36.952000
bahrain,HAM,1.0,MEDIUM,17,0 days 00:01:39.679235294,0 days 00:01:38.419000
bahrain,HAM,2.0,MEDIUM,15,0 days 00:01:40.225600,0 days 00:01:36.798000
bahrain,HAM,3.0,HARD,24,0 days 00:01:40.720958333,0 days 00:01:36.235000
bahrain,HUL,1.0,SOFT,5,0 days 00:01:42.384400,0 days 00:01:39.829000
bahrain,HUL,2.0,MEDIUM,22,0 days 00:01:40.388590909,0 days 00:01:37.950000
bahrain,HUL,3.0,MEDIUM,30,0 days 00:01:42.414533333,0 days 00:01:37.338000
bahrain,LAW,1.0,MEDIUM,14,0 days 00:01:40.851285714,0 days 00:01:39.609000
bahrain,LAW,2.0,HARD,18,0 days 00:01:42.060000,0 days 00:01:37.860000
bahrain,LAW,3.0,SOFT,24,0 days 00:01:39.489916666,0 days 00:01:37.380000
bahrain,LEC,1.0,MEDIUM,17,0 days 00:01:39.083000,0 days 00:01:38.048000
bahrain,LEC,2.0,MEDIUM,15,0 days 00:01:39.858533333,0 days 00:01:36.876000
bahrain,LEC,3.0,HARD,24,0 days 00:01:40.781458333,0 days 00:01:36.132000
bahrain,NOR,1.0,SOFT,10,0 days 00:01:39.023600,0 days 00:01:37.910000
bahrain,NOR,2.0,MEDIUM,22,0 days 00:01:39.759590909,0 days 00:01:37.453000
bahrain,NOR,3.0,MEDIUM,24,0 days 00:01:40.589875,0 days 00:01:35.728000
bahrain,OCO,1.0,SOFT,8,0 days 00:01:40.392000,0 days 00:01:38.726000
bahrain,OCO,2.0,MEDIUM,19,0 days 00:01:39.757052631,0 days 00:01:37.553000
bahrain,OCO,3.0,HARD,30,0 days 00:01:42.838633333,0 days 00:01:37.098000
bahrain,PIA,1.0,SOFT,14,0 days 00:01:38.642142857,0 days 00:01:37.492000
bahrain,PIA,2.0,MEDIUM,18,0 days 00:01:39.465277777,0 days 00:01:37.142000
bahrain,PIA,3.0,MEDIUM,24,0 days 00:01:40.083333333,0 days 00:01:35.140000
bahrain,RUS,1.0,SOFT,13,0 days 00:01:38.979461538,0 days 00:01:37.817000
bahrain,RUS,2.0,MEDIUM,19,0 days 00:01:39.690578947,0 days 00:01:37.653000
bahrain,RUS,3.0,SOFT,24,0 days 00:01:40.678166666,0 days 00:01:35.518000
bahrain,SAI,1.0,SOFT,14,0 days 00:01:40.268071428,0 days 00:01:38.185000
bahrain,SAI,2.0,MEDIUM,18,0 days 00:01:41.153166666,0 days 00:01:36.954000
bahrain,SAI,3.0,HARD,11,0 days 00:01:44.362727272,0 days 00:01:37.832000
bahrain,SAI,4.0,SOFT,1,0 days 00:02:12.350000,0 days 00:02:12.350000
bahrain,STR,1.0,SOFT,12,0 days 00:01:41.053666666,0 days 00:01:39.708000
bahrain,STR,2.0,MEDIUM,20,0 days 00:01:41.857000,0 days 00:01:38.667000
bahrain,STR,3.0,HARD,24,0 days 00:01:40.105000,0 days 00:01:38.064000
bahrain,TSU,1.0,SOFT,11,0 days 00:01:40.106818181,0 days 00:01:38.565000
bahrain,TSU,2.0,MEDIUM,21,0 days 00:01:41.170904761,0 days 00:01:38.009000
bahrain,TSU,3.0,SOFT,24,0 days 00:01:40.300916666,0 days 00:01:37.225000
bahrain,VER,1.0,SOFT,10,0 days 00:01:39.793400,0 days 00:01:38.403000
bahrain,VER,2.0,HARD,16,0 days 00:01:40.333562500,0 days 00:01:37.204000
bahrain,VER,3.0,MEDIUM,31,0 days 00:01:42.276096774,0 days 00:01:36.167000
belgian,ALB,1.0,INTERMEDIATE,9,0 days 00:02:10.665777777,0 days 00:02:01.326000
belgian,ALB,2.0,MEDIUM,32,0 days 00:01:48.212250,0 days 00:01:46.813000
belgian,ALO,1.0,INTERMEDIATE,8,0 days 00:02:16.521625,0 days 00:02:02.757000
belgian,ALO,2.0,MEDIUM,18,0 days 00:01:50.691277777,0 days 00:01:47.872000
belgian,ANT,1.0,INTERMEDIATE,9,0 days 00:02:14.852111111,0 days 00:02:02.188000
belgian,ANT,2.0,MEDIUM,18,0 days 00:01:49.774000,0 days 00:01:47.002000
belgian,BEA,1.0,INTERMEDIATE,9,0 days 00:02:12.477000,0 days 00:02:01.707000
belgian,BEA,2.0,MEDIUM,32,0 days 00:01:48.944875,0 days 00:01:46.709000
belgian,BOR,1.0,INTERMEDIATE,9,0 days 00:02:12.199444444,0 days 00:02:01.165000
belgian,BOR,2.0,MEDIUM,32,0 days 00:01:48.453375,0 days 00:01:46.966000
belgian,COL,1.0,INTERMEDIATE,9,0 days 00:02:13.803000,0 days 00:02:02.275000
belgian,COL,2.0,MEDIUM,16,0 days 00:01:50.860062500,0 days 00:01:48.423000
belgian,GAS,1.0,INTERMEDIATE,8,0 days 00:02:14.850875,0 days 00:02:02.097000
belgian,GAS,2.0,MEDIUM,33,0 days 00:01:49.120969696,0 days 00:01:47.177000
belgian,HAD,1.0,INTERMEDIATE,10,0 days 00:02:10.794900,0 days 00:02:01.255000
belgian,HAD,2.0,MEDIUM,7,0 days 00:01:53.856857142,0 days 00:01:50.008000
belgian,HAD,3.0,HARD,23,0 days 00:01:49.160130434,0 days 00:01:47.667000
belgian,HAM,1.0,INTERMEDIATE,8,0 days 00:02:15.249125,0 days 00:02:01.599000
belgian,HAM,2.0,MEDIUM,33,0 days 00:01:48.241969696,0 days 00:01:46.534000
belgian,HUL,1.0,INTERMEDIATE,8,0 days 00:02:15.104875,0 days 00:02:02.049000
belgian,HUL,2.0,MEDIUM,21,0 days 00:01:50.031476190,0 days 00:01:47.656000
belgian,LAW,1.0,INTERMEDIATE,9,0 days 00:02:11.949000,0 days 00:02:01.212000
belgian,LAW,2.0,MEDIUM,32,0 days 00:01:48.382781250,0 days 00:01:46.649000
belgian,LEC,1.0,INTERMEDIATE,9,0 days 00:02:09.742888888,0 days 00:02:00.142000
belgian,LEC,2.0,MEDIUM,32,0 days 00:01:47.791937500,0 days 00:01:46.174000
