Race,Driver,NumBrakingEvents,AvgBrakeDistance,AvgEntrySpeed,AvgExitSpeed,AvgSpeedReduction
azerbaijan,NOR,605,76.29569408165494,212.69421487603304,103.82802738650416,108.86618748952888
azerbaijan,OCO,715,73.29541214117204,197.33706293706294,98.60151328484454,98.73554965221837
azerbaijan,PIA,9,67.00164319584829,177.0,88.4644095029277,88.53559049707229
azerbaijan,RUS,612,72.77682620483826,215.63071895424838,107.04185056691306,108.5888683873353
azerbaijan,SAI,645,76.64708894625349,205.29457364341084,101.66487818640755,103.62969545700327
azerbaijan,STR,659,70.70163918909101,204.2443095599393,104.19186754544123,100.05244201449806
azerbaijan,TSU,644,71.89736882609498,202.52329192546583,99.8669016616682,102.65639026379769
azerbaijan,VER,653,69.3620136828127,204.73506891271057,103.20578150929605,101.52928740341454
bahrain,ALB,510,102.04491096522021,242.48627450980393,109.93488769137996,132.55138681842394
bahrain,ALO,496,95.26884345897281,239.3125,114.30316163493478,125.00933836506519
bahrain,ANT,479,103.14149021121311,248.10020876826724,112.00885482681107,136.09135394145608
bahrain,BEA,539,96.79515891131047,244.49721706864565,118.07587093832045,126.4213461303252
bahrain,BOR,495,115.05992404355742,249.91313131313132,108.6344621236614,141.2786691894699
bahrain,DOO,489,100.00510900810984,248.14519427402863,116.80959802955913,131.3355962444695
bahrain,GAS,511,97.74987637772233,239.8962818003914,116.18657435798266,123.70970744240871
bahrain,HAD,489,104.61634051717179,247.16564417177915,111.25669407878868,135.90895009299047
bahrain,HAM,507,103.73911020779383,244.83234714003945,110.41898801194829,134.41335912809117
bahrain,HUL,496,99.42088645209454,242.34072580645162,108.78478080411604,133.55594500233553
bahrain,LAW,481,109.1546997921448,244.97089397089397,108.83811871384577,136.13277525704825
bahrain,LEC,499,95.29586621308108,246.33667334669337,114.55771161851374,131.77896172817958
bahrain,NOR,503,101.11960913727951,244.00198807157057,116.74171657617663,127.26027149539394
bahrain,OCO,615,93.19002282068493,233.53658536585365,121.21054058995257,112.32604477590107
bahrain,PIA,476,96.68701525534397,246.90546218487395,119.6882200222297,127.21724216264421
bahrain,RUS,369,93.97764538074881,241.1409214092141,114.17135350797498,126.96956790123907
bahrain,SAI,412,97.50691964485259,241.11165048543688,108.12600820244579,132.98564228299114
bahrain,STR,500,106.03552809486136,243.086,113.82289456874801,129.26310543125197
bahrain,TSU,510,91.99534824590715,236.88823529411764,113.65508499308518,123.23315030103244
bahrain,VER,500,103.51773085024155,246.556,115.0939417442116,131.46205825578832
belgian,ALB,528,74.28753038546738,217.72727272727272,136.58330800643,81.1439647208427
belgian,ALO,488,81.53548398942087,222.54303278688525,139.659624719088,82.88340806779742
belgian,ANT,478,80.36866053800566,234.23849372384936,147.17318865793823,87.06530506591119
belgian,BEA,523,75.07962190155001,224.76481835564053,139.84000830501975,84.92481005062083
belgian,BOR,475,79.18577092798755,214.73052631578946,125.11743729412609,89.61308902166338
belgian,COL,484,75.53384210247133,220.86776859504133,135.24542280807907,85.6223457869622
belgian,GAS,435,90.81815755910122,233.05977011494252,135.51810093879104,97.54166917615157
belgian,HAD,406,80.94781356176411,226.73399014778326,133.81308409670714,92.92090605107607
belgian,HAM,555,73.37580196210092,209.4900900900901,131.33306309224406,78.15702699784586
belgian,HUL,446,78.28169355917322,225.75112107623318,132.04058792713792,93.71053314909524
belgian,LAW,421,82.09796096956146,230.0142517814727,137.0445802670452,92.96967151442753
belgian,LEC,508,72.72285308410716,218.33070866141733,134.55841566587387,83.7722929955434
belgian,NOR,421,76.58077991024626,228.92399049881234,134.61087424872355,94.31311625008877
belgian,OCO,696,68.69364787736576,205.63793103448276,140.3469891801339,65.29094185434882
belgian,PIA,361,86.32632235606341,235.3545706371191,128.8841846205205,106.47038601659868
belgian,RUS,435,80.94604299997154,241.3310344827586,146.30715380711283,95.02388067564573
belgian,SAI,502,77.91640351572774,220.6414342629482,135.6481152013769,84.99331906157133
belgian,STR,517,74.58215343692991,220.6615087040619,142.41273388307633,78.24877482098557
belgian,TSU,493,71.80128346307288,216.19878296146044,133.0540817498353,83.14470121162509
belgian,VER,443,83.86941984609506,218.14672686230247,125.15273418253273,92.99399267976978
british,ALB,761,75.34798614036843,208.4244415243101,145.88694609183665,62.537495432473456
british,ALO,715,72.80220998076607,205.17482517482517,144.16303315695959,61.01179201786541
british,ANT,346,76.92457892332195,192.01156069364163,133.52281774296955,58.48874295067203
british,BEA,757,72.64453851532569,211.75693527080583,146.75804730885136,64.99888796195444
british,BOR,61,80.73403968016538,170.91803278688525,114.22854567052852,56.6894871163567
british,GAS,711,78.43154345058481,203.0239099859353,139.01985291647992,64.00405706945526
british,HAD,277,71.62700661478928,192.82671480144404,133.7294471078878,59.09726769355608
british,HAM,879,72.55412579563907,196.452787258248,139.37046204268938,57.08232521555851
british,HUL,700,69.88970961820019,208.93571428571428,145.55239795247988,63.38331633323441
british,LAW,17,28.569214639181656,75.58823529411765,51.64546341333334,23.942771880784306
british,LEC,740,70.54426272494136,206.00675675675674,144.5587891336959,61.44796762306079
british,NOR,692,65.44851303918712,206.48554913294797,145.50513456288488,60.980414570063026
british,OCO,989,66.7050354790556,190.70273003033367,139.3266799086301,51.376050121703535
british,PIA,616,67.92325530449159,218.27272727272728,149.61691035680542,68.65581691592169
british,RUS,686,70.62506261025318,208.47667638483966,144.45171490089368,64.02496148394592
british,SAI,758,79.82455662487305,207.08047493403694,145.62762002153448,61.45285491250246
british,STR,752,70.44128303053574,205.23670212765958,146.419275734628,58.817426393031724
british,TSU,732,72.15246119811422,204.2554644808743,142.17115436171895,62.084310119155354
british,VER,705,84.03164364172908,214.45248226950355,143.5392035806954,70.91327868880794
canadian,ALB,345,90.51403469242611,237.81739130434784,110.4088145228554,127.40857678149243
canadian,ALO,502,89.85543335646983,238.57171314741035,110.49608331558098,128.07562983182936
canadian,ANT,508,83.98716211210967,238.08858267716536,115.8536183790545,122.23496429811084
canadian,BEA,505,99.80589784886098,244.35445544554455,107.46887612726961,136.88557931827492
canadian,BOR,527,85.5656402931786,232.08159392789375,107.91339412960525,124.1681997982885
canadian,COL,525,76.14802213906418,224.39619047619047,112.81009861514683,111.58609186104364
canadian,GAS,493,87.06514517168948,236.01014198782963,109.89194205956966,126.11819992826001
