Race,Driver,Stint,Compound,Laps,AvgLapTime
azerbaijan,SAI,2.0,HARD,24,0 days 00:01:45.525791666
azerbaijan,STR,1.0,MEDIUM,34,0 days 00:01:48.877352941
azerbaijan,STR,2.0,HARD,14,0 days 00:01:47.165285714
azerbaijan,TSU,1.0,HARD,35,0 days 00:01:47.167028571
azerbaijan,TSU,2.0,MEDIUM,13,0 days 00:01:46.264000
azerbaijan,VER,1.0,HARD,37,0 days 00:01:46.227918918
azerbaijan,VER,2.0,MEDIUM,11,0 days 00:01:45.489818181
bahrain,ALB,1.0,SOFT,16,0 days 00:01:40.343000
bahrain,ALB,2.0,HARD,16,0 days 00:01:41.539000
bahrain,ALB,3.0,MEDIUM,24,0 days 00:01:40.293166666
bahrain,ALO,1.0,MEDIUM,16,0 days 00:01:40.680687500
bahrain,ALO,2.0,MEDIUM,16,0 days 00:01:41.655062500
bahrain,ALO,3.0,HARD,24,0 days 00:01:40.445666666
bahrain,ANT,1.0,SOFT,12,0 days 00:01:39.538583333
bahrain,ANT,2.0,MEDIUM,15,0 days 00:01:40.339800
bahrain,ANT,3.0,SOFT,5,0 days 00:01:46.960000
bahrain,ANT,4.0,SOFT,24,0 days 00:01:40.079041666
bahrain,BEA,1.0,SOFT,14,0 days 00:01:40.443071428
bahrain,BEA,2.0,HARD,18,0 days 00:01:41.357000
bahrain,BEA,3.0,SOFT,25,0 days 00:01:42.256000
bahrain,BOR,1.0,MEDIUM,13,0 days 00:01:41.161461538
bahrain,BOR,2.0,HARD,19,0 days 00:01:42.220315789
bahrain,BOR,3.0,MEDIUM,24,0 days 00:01:39.880125
bahrain,DOO,1.0,SOFT,9,0 days 00:01:40.351333333
bahrain,DOO,2.0,MEDIUM,19,0 days 00:01:40.009000
bahrain,DOO,3.0,HARD,29,0 days 00:01:43.065793103
bahrain,GAS,1.0,SOFT,10,0 days 00:01:39.707200
bahrain,GAS,2.0,MEDIUM,18,0 days 00:01:39.657777777
bahrain,GAS,3.0,HARD,29,0 days 00:01:42.914655172
bahrain,HAD,1.0,SOFT,6,0 days 00:01:41.524833333
bahrain,HAD,2.0,MEDIUM,22,0 days 00:01:40.271318181
bahrain,HAD,3.0,HARD,29,0 days 00:01:42.780379310
bahrain,HAM,1.0,MEDIUM,17,0 days 00:01:39.679235294
bahrain,HAM,2.0,MEDIUM,15,0 days 00:01:40.225600
bahrain,HAM,3.0,HARD,24,0 days 00:01:40.720958333
bahrain,HUL,1.0,SOFT,5,0 days 00:01:42.384400
bahrain,HUL,2.0,MEDIUM,22,0 days 00:01:40.388590909
bahrain,HUL,3.0,MEDIUM,30,0 days 00:01:42.414533333
bahrain,LAW,1.0,MEDIUM,14,0 days 00:01:40.851285714
bahrain,LAW,2.0,HARD,18,0 days 00:01:42.060000
bahrain,LAW,3.0,SOFT,24,0 days 00:01:39.489916666
bahrain,LEC,1.0,MEDIUM,17,0 days 00:01:39.083000
bahrain,LEC,2.0,MEDIUM,15,0 days 00:01:39.858533333
bahrain,LEC,3.0,HARD,24,0 days 00:01:40.781458333
bahrain,NOR,1.0,SOFT,10,0 days 00:01:39.023600
bahrain,NOR,2.0,MEDIUM,22,0 days 00:01:39.759590909
bahrain,NOR,3.0,MEDIUM,24,0 days 00:01:40.589875
bahrain,OCO,1.0,SOFT,8,0 days 00:01:40.392000
bahrain,OCO,2.0,MEDIUM,19,0 days 00:01:39.757052631
bahrain,OCO,3.0,HARD,30,0 days 00:01:42.838633333
bahrain,PIA,1.0,SOFT,14,0 days 00:01:38.642142857
bahrain,PIA,2.0,MEDIUM,18,0 days 00:01:39.465277777
bahrain,PIA,3.0,MEDIUM,24,0 days 00:01:40.083333333
bahrain,RUS,1.0,SOFT,13,0 days 00:01:38.979461538
bahrain,RUS,2.0,MEDIUM,19,0 days 00:01:39.690578947
bahrain,RUS,3.0,SOFT,24,0 days 00:01:40.678166666
bahrain,SAI,1.0,SOFT,14,0 days 00:01:40.268071428
bahrain,SAI,2.0,MEDIUM,18,0 days 00:01:41.153166666
bahrain,SAI,3.0,HARD,11,0 days 00:01:44.362727272
bahrain,SAI,4.0,SOFT,1,0 days 00:02:12.350000
bahrain,STR,1.0,SOFT,12,0 days 00:01:41.053666666
bahrain,STR,2.0,MEDIUM,20,0 days 00:01:41.857000
bahrain,STR,3.0,HARD,24,0 days 00:01:40.105000
bahrain,TSU,1.0,SOFT,11,0 days 00:01:40.106818181
bahrain,TSU,2.0,MEDIUM,21,0 days 00:01:41.170904761
bahrain,TSU,3.0,SOFT,24,0 days 00:01:40.300916666
bahrain,VER,1.0,SOFT,10,0 days 00:01:39.793400
bahrain,VER,2.0,HARD,16,0 days 00:01:40.333562500
bahrain,VER,3.0,MEDIUM,31,0 days 00:01:42.276096774
belgian,ALB,1.0,INTERMEDIATE,9,0 days 00:02:10.665777777
belgian,ALB,2.0,MEDIUM,32,0 days 00:01:48.212250
belgian,ALO,1.0,INTERMEDIATE,8,0 days 00:02:16.521625
belgian,ALO,2.0,MEDIUM,18,0 days 00:01:50.691277777
belgian,ANT,1.0,INTERMEDIATE,9,0 days 00:02:14.852111111
belgian,ANT,2.0,MEDIUM,18,0 days 00:01:49.774000
belgian,BEA,1.0,INTERMEDIATE,9,0 days 00:02:12.477000
belgian,BEA,2.0,MEDIUM,32,0 days 00:01:48.944875
belgian,BOR,1.0,INTERMEDIATE,9,0 days 00:02:12.199444444
belgian,BOR,2.0,MEDIUM,32,0 days 00:01:48.453375
belgian,COL,1.0,INTERMEDIATE,9,0 days 00:02:13.803000
belgian,COL,2.0,MEDIUM,16,0 days 00:01:50.860062500
belgian,GAS,1.0,INTERMEDIATE,8,0 days 00:02:14.850875
belgian,GAS,2.0,MEDIUM,33,0 days 00:01:49.120969696
belgian,HAD,1.0,INTERMEDIATE,10,0 days 00:02:10.794900
belgian,HAD,2.0,MEDIUM,7,0 days 00:01:53.856857142
belgian,HAD,3.0,HARD,23,0 days 00:01:49.160130434
belgian,HAM,1.0,INTERMEDIATE,8,0 days 00:02:15.249125
belgian,HAM,2.0,MEDIUM,33,0 days 00:01:48.241969696
belgian,HUL,1.0,INTERMEDIATE,8,0 days 00:02:15.104875
belgian,HUL,2.0,MEDIUM,21,0 days 00:01:50.031476190
belgian,LAW,1.0,INTERMEDIATE,9,0 days 00:02:11.949000
belgian,LAW,2.0,MEDIUM,32,0 days 00:01:48.382781250
