Race,Driver,Compound,Stint,StintLength,AvgPace,FirstThreeAvg,LastThreeAvg,PaceDropoff,DegradationRate
austrian,STR,SOFT,3.0,16,70.87875,75.29133333333333,69.89766666666667,-5.393666666666661,-0.3371041666666663
austrian,TSU,MEDIUM,1.0,18,77.95616666666666,107.43666666666667,73.02966666666667,-34.407,-1.9114999999999998
austrian,TSU,HARD,2.0,12,73.10525,76.693,74.029,-2.6640000000000015,-0.22200000000000011
austrian,TSU,MEDIUM,3.0,30,71.76906666666667,79.39533333333333,71.76266666666668,-7.632666666666651,-0.2544222222222217
austrian,TSU,SOFT,4.0,8,74.64075,80.23066666666666,71.24900000000001,-8.981666666666655,-1.1227083333333319
azerbaijan,ALB,MEDIUM,2.0,11,109.04400000000001,111.09033333333333,108.84766666666667,-2.242666666666665,-0.20387878787878772
azerbaijan,ALB,HARD,3.0,36,106.13883333333334,112.54766666666666,104.45133333333332,-8.096333333333334,-0.22489814814814815
azerbaijan,ALO,MEDIUM,1.0,18,109.99050000000001,122.64133333333335,108.153,-14.488333333333344,-0.804907407407408
azerbaijan,ALO,HARD,2.0,30,106.79989999999998,114.379,105.19599999999998,-9.183000000000021,-0.3061000000000007
azerbaijan,ANT,MEDIUM,1.0,15,108.78080000000001,116.37400000000001,107.38766666666668,-8.986333333333334,-0.599088888888889
azerbaijan,ANT,HARD,2.0,33,105.56251515151516,111.90533333333333,104.70533333333333,-7.200000000000003,-0.21818181818181825
azerbaijan,BEA,HARD,1.0,25,109.74872,124.83666666666666,108.33,-16.50666666666666,-0.6602666666666664
azerbaijan,BEA,MEDIUM,2.0,23,105.77260869565217,110.72233333333332,105.02533333333334,-5.6969999999999885,-0.24769565217391254
azerbaijan,BOR,HARD,1.0,23,109.21852173913045,122.91099999999999,108.01966666666668,-14.891333333333307,-0.6474492753623177
azerbaijan,BOR,MEDIUM,2.0,25,106.43972,112.33733333333333,105.58033333333333,-6.757000000000005,-0.2702800000000002
azerbaijan,COL,MEDIUM,1.0,13,111.89600000000002,123.73299999999999,109.08800000000001,-14.644999999999982,-1.1265384615384602
azerbaijan,COL,HARD,2.0,34,107.61749999999999,117.04033333333332,107.38133333333333,-9.658999999999992,-0.2840882352941174
azerbaijan,GAS,HARD,1.0,32,109.425875,125.27133333333332,108.04833333333333,-17.222999999999985,-0.5382187499999995
azerbaijan,GAS,MEDIUM,2.0,15,107.48253333333332,111.931,106.43400000000001,-5.496999999999986,-0.3664666666666657
azerbaijan,HAD,MEDIUM,1.0,26,108.5186153846154,120.51733333333334,107.31866666666667,-13.198666666666668,-0.5076410256410256
azerbaijan,HAD,HARD,2.0,22,105.38045454545454,111.03033333333333,104.13266666666665,-6.89766666666668,-0.31353030303030366
azerbaijan,HAM,HARD,1.0,33,107.74236363636363,121.67433333333334,106.617,-15.057333333333332,-0.45628282828282823
azerbaijan,HAM,MEDIUM,2.0,15,105.66319999999999,109.95566666666666,105.06433333333332,-4.8913333333333355,-0.32608888888888904
azerbaijan,HUL,HARD,1.0,33,109.17727272727272,125.30033333333331,109.03166666666668,-16.268666666666633,-0.492989898989898
azerbaijan,HUL,MEDIUM,2.0,15,105.86886666666666,110.48033333333332,104.61733333333332,-5.8629999999999995,-0.39086666666666664
azerbaijan,LAW,MEDIUM,1.0,17,108.41511764705882,115.71,107.472,-8.238,-0.4845882352941176
azerbaijan,LAW,HARD,2.0,31,105.89499999999997,112.10033333333332,104.66233333333334,-7.437999999999988,-0.23993548387096736
azerbaijan,LEC,MEDIUM,1.0,16,109.4556875,120.67,107.243,-13.427000000000007,-0.8391875000000004
azerbaijan,LEC,HARD,2.0,32,105.8856875,111.39566666666667,104.55733333333332,-6.8383333333333525,-0.21369791666666726
